National,Province,District,Facility Name,Facility code
Zimbabwe Ministry of Health,Harare ,Parirenyatwa Group of Hospitals,Annexe Hospital,
Zimbabwe Ministry of Health,Harare ,Harare Central South Eastern ,Arcadia Clinic,
Zimbabwe Ministry of Health,Harare ,Harare Central South Eastern ,Arcadia Medical Center,ZW000A0Q
Zimbabwe Ministry of Health,Harare ,Harare Central South Eastern ,Avenues Clinic Hospital,
Zimbabwe Ministry of Health,Harare ,North Western ,Avondale Clinic,ZW000A01
Zimbabwe Ministry of Health,Harare ,Harare Central South Eastern ,Baines Avenue Clinic,ZW000A0V
Zimbabwe Ministry of Health,Harare ,Infectious Diseases Hospital,Beatrice Road Hospital,ZW000A0C
Zimbabwe Ministry of Health,Harare ,North Western ,Belvedere Satellite Clinic,
Zimbabwe Ministry of Health,Harare ,Northern ,Borrowdale Clinic,
Zimbabwe Ministry of Health,Harare ,Harare Central South Eastern ,Braeside FHS Clinic,ZW000A08
Zimbabwe Ministry of Health,Harare ,West South West ,Budiriro PolyClinic,
Zimbabwe Ministry of Health,Harare ,West South West ,Budiriro Satellite Clinic,
Zimbabwe Ministry of Health,Harare ,Eastern ,Caledonia sate,
Zimbabwe Ministry of Health,Harare ,Chitungwiza Central Hospital,Chitungwiza Casualty,
Zimbabwe Ministry of Health,Harare ,Chitungwiza Central Hospital,Chitungwiza Central Hospital - do not use,
Zimbabwe Ministry of Health,Harare ,Chitungwiza Central Hospital,Chitungwiza Maternity Services,
Zimbabwe Ministry of Health,Harare ,Chitungwiza Urban ,Chitungwiza New Start Centre Town Centre,
Zimbabwe Ministry of Health,Harare ,Chitungwiza Central Hospital,Chitungwiza OPD,
Zimbabwe Ministry of Health,Harare ,Chitungwiza Central Hospital,Chitungwiza Peadiatrics,
Zimbabwe Ministry of Health,Harare ,Chitungwiza Central Hospital,Chitungwiza Staff Clinic,
Zimbabwe Ministry of Health,Harare ,Chitungwiza Urban ,Chitungwiza ZRP Camp Clinic,
Zimbabwe Ministry of Health,Harare ,Harare Central South Eastern ,Cimas Chinhoyi Clinic,
Zimbabwe Ministry of Health,Harare ,Harare Central South Eastern ,Delta Graniteside Clinic,
Zimbabwe Ministry of Health,Harare ,Eastern ,Eastley FHS Clinic,ZW000A10
Zimbabwe Ministry of Health,Harare ,South Western ,Glen Norah Satellite Clinic,
Zimbabwe Ministry of Health,Harare ,West South West ,Glen View PolyClinic,
Zimbabwe Ministry of Health,Harare ,West South West ,Glen View Satellite Clinic,
Zimbabwe Ministry of Health,Harare ,Harare Central South Eastern ,Gonda Hospital,
Zimbabwe Ministry of Health,Harare ,Eastern ,Greendale FHS Clinic,ZW000A15
Zimbabwe Ministry of Health,Harare ,Harare Central Hospital,Harare Casualty,
Zimbabwe Ministry of Health,Harare ,Harare Central Hospital,Harare Central Hospital,ZW000D0D
Zimbabwe Ministry of Health,Harare ,Harare Central South Eastern ,Harare city centre VMMC clinic,ZW000A74
Zimbabwe Ministry of Health,Harare ,Harare Central South Eastern ,Harare City Private Institutions,
Zimbabwe Ministry of Health,Harare ,Harare Central Hospital,Harare Maternity,
Zimbabwe Ministry of Health,Harare ,Harare Central Hospital,Harare OPD,
Zimbabwe Ministry of Health,Harare ,Harare Central Hospital,Harare Paediatric,
Zimbabwe Ministry of Health,Harare ,Harare Central South Eastern ,Harare Polytechnic Clinic,
Zimbabwe Ministry of Health,Harare ,Harare Central Hospital,Harare Psychiatric,
Zimbabwe Ministry of Health,Harare ,Harare Central Hospital,Harare Staff Clinic,
Zimbabwe Ministry of Health,Harare ,Northern ,Hatcliffe PolyClinic,
Zimbabwe Ministry of Health,Harare ,Harare Central South Eastern ,Hatfield Clinic,
Zimbabwe Ministry of Health,Harare ,South Western ,Highfield PolyClinic,
Zimbabwe Ministry of Health,Harare ,Northern ,Highlands FHS Clinic,
Zimbabwe Ministry of Health,Harare ,Eastern ,Highlands Primary Care Clinic,
Zimbabwe Ministry of Health,Harare ,Southern ,Hopley Clinic,
Zimbabwe Ministry of Health,Harare ,Harare Central South Eastern ,Insco Wellness Clinic,
Zimbabwe Ministry of Health,Harare ,Western ,Kambuzuma PolyClinic,
Zimbabwe Ministry of Health,Harare ,Western ,Kuwadzana Phase 4,
Zimbabwe Ministry of Health,Harare ,Western ,Kuwadzana PolyClinic,
Zimbabwe Ministry of Health,Harare ,North Western ,Mabelreign Satellite Clinic,ZW000A21
Zimbabwe Ministry of Health,Harare ,Eastern ,Mabvuku PolyClinic,ZW000A23
Zimbabwe Ministry of Health,Harare ,Eastern ,Mabvuku Satellite,
Zimbabwe Ministry of Health,Harare ,Chitungwiza Urban ,Manyame 24 hr Maternity Clinic,
Zimbabwe Ministry of Health,Harare ,Eastern ,Manyame Airbase Hospital,
Zimbabwe Ministry of Health,Harare ,North Western ,Marlborough Satellite Clinic,
Zimbabwe Ministry of Health,Harare ,Southern ,Matapi Clinic,
Zimbabwe Ministry of Health,Harare ,Southern ,Mbare Hostels Clinic,
Zimbabwe Ministry of Health,Harare ,Southern ,Mbare PolyClinic,
Zimbabwe Ministry of Health,Harare ,Harare Central South Eastern ,Metropolitan Clinic,ZW000A0J
Zimbabwe Ministry of Health,Harare ,Northern ,Morris Depot Camp Hospital,
Zimbabwe Ministry of Health,Harare ,Northern ,Mount Pleasant Clinic,
Zimbabwe Ministry of Health,Harare ,West South West ,Mufakose PolyClinic,
Zimbabwe Ministry of Health,Harare ,Northern ,Newlands Clinic,
Zimbabwe Ministry of Health,Harare ,Parirenyatwa Group of Hospitals,Parirenyatwa Casualty,
Zimbabwe Ministry of Health,Harare ,Harare Central South Eastern ,Parirenyatwa Clinic,
Zimbabwe Ministry of Health,Harare ,Parirenyatwa Group of Hospitals,Parirenyatwa Family Planning,
Zimbabwe Ministry of Health,Harare ,Parirenyatwa Group of Hospitals,Parirenyatwa Mbuya Nehanda Maternity Hospital,
Zimbabwe Ministry of Health,Harare ,Parirenyatwa Group of Hospitals,Parirenyatwa OPD,
Zimbabwe Ministry of Health,Harare ,Parirenyatwa Group of Hospitals,Parirenyatwa Radiotherapy,
Zimbabwe Ministry of Health,Harare ,Parirenyatwa Group of Hospitals,Parirenyatwa Sekuru Kaguvi,
Zimbabwe Ministry of Health,Harare ,Parirenyatwa Group of Hospitals,Parirenyatwa Staff Clinic,
Zimbabwe Ministry of Health,Harare ,Harare Central South Eastern ,"PSI New start Centre, Kwame",ZW000A63
Zimbabwe Ministry of Health,Harare ,Harare Central South Eastern ,Red Crescent Society,
Zimbabwe Ministry of Health,Harare ,North Western ,Roland Square clini,
Zimbabwe Ministry of Health,Harare ,Harare Central South Eastern ,Roland Square Clinic,
Zimbabwe Ministry of Health,Harare ,North Western ,Rujeko PolyClinic,
Zimbabwe Ministry of Health,Harare ,South Western ,Rutsanana PolyClinic,
Zimbabwe Ministry of Health,Harare ,Chitungwiza Urban ,Seke North Clinic,ZW000B02
Zimbabwe Ministry of Health,Harare ,Chitungwiza Urban ,Seke South Clinic,ZW000B01
Zimbabwe Ministry of Health,Harare ,Chitungwiza Urban ,South Medical Hospital,
Zimbabwe Ministry of Health,Harare ,South Western ,Southerton Clinic,
Zimbabwe Ministry of Health,Harare ,South Western ,Spilhaus,
Zimbabwe Ministry of Health,Harare ,South Western ,Spilhaus_Data,
Zimbabwe Ministry of Health,Harare ,Harare Central South Eastern ,St Annes Hospital,
Zimbabwe Ministry of Health,Harare ,Chitungwiza Urban ,St Mary's Clinic,ZW000B03
Zimbabwe Ministry of Health,Harare ,Chitungwiza Urban ,St Michaels Clinic,
Zimbabwe Ministry of Health,Harare ,Southern ,Sunningdale Clinic,
Zimbabwe Ministry of Health,Harare ,Eastern ,Tafara FHS Clinic,ZW000A38
Zimbabwe Ministry of Health,Harare ,Northern ,University of Zimbabwe,
Zimbabwe Ministry of Health,Harare ,Western ,Warren Park PolyClinic,
Zimbabwe Ministry of Health,Harare ,Southern ,Waterfalls Clinic,
Zimbabwe Ministry of Health,Harare ,Harare Central South Eastern ,West End Hospital,ZW000A0H
Zimbabwe Ministry of Health,Harare ,South Western ,Western Triangle Clinic,
Zimbabwe Ministry of Health,Harare ,Infectious Diseases Hospital,Wilkins Infectious Diseases Hospital,ZW000AOD
Zimbabwe Ministry of Health,Harare ,North Western ,ZAPSO,
Zimbabwe Ministry of Health,Harare ,Chitungwiza Urban ,Zengeza Clinic,ZW000B04
Zimbabwe Ministry of Health,Harare ,Eastern ,ZPS Chikurubi Farm Prison,
Zimbabwe Ministry of Health,Harare ,Eastern ,ZPS Chikurubi Female Prison Clinic,ZW000A60
Zimbabwe Ministry of Health,Harare ,Eastern ,ZPS Chikurubi Maximum Prison Hospital,ZW000A59
Zimbabwe Ministry of Health,Harare ,Eastern ,ZPS Chikurubi Maximum Prison Psychiatric,
Zimbabwe Ministry of Health,Harare ,Eastern ,ZPS Chikurubi Prison Dependants Clinic,
Zimbabwe Ministry of Health,Harare ,Eastern ,ZPS Chikurubi Prison Staff Hospital,
Zimbabwe Ministry of Health,Harare ,Eastern ,ZPS Harare Central Kentuky Prison Clinic,
Zimbabwe Ministry of Health,Harare ,Eastern ,ZPS Harare Central Prison Dependants Clinic,
Zimbabwe Ministry of Health,Harare ,Eastern ,ZPS Harare Central Prison Hospital,ZW000A48
Zimbabwe Ministry of Health,Harare ,Eastern ,ZPS Harare Metropolitan Province Prisons Clinic,ZW000A96
Zimbabwe Ministry of Health,Harare ,Eastern ,ZPS Harare Remand Prison,
Zimbabwe Ministry of Health,Harare ,Eastern ,ZRP Support Unit Camp Hospital,
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Arda Chisumbanje Clinic,ZW010361
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Arda Odzi Clinic,ZW010524
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Arda Rusitu Clinic,ZW010251
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Army Dependent Clinic,ZW010523
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Arnoldine Mission Clinic,ZW010492
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Avilla Mission Hospital,ZW01070B
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Bakorenhema Clinic,ZW010525
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Bamba Rural Health Centre,ZW010401
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Bangure Clinic,ZW010125
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Berenyazvizvi Clinic,ZW010101
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Betera Rural Health Centre,ZW010102
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Bezely Bridge Clinic,ZW010526
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Birchenough Bridge Hospital,ZW01010B
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Biriwiri Rural Hospital,ZW010202A
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Bonda Mission Hospital,ZW01060B
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Buhera Rural Hospital,ZW01010A
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Bumba Rural Health Centre,ZW010201
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Burma Valley Clinic,ZW010545
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Bwizi Rural Health Centre,ZW010501
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Cashel Clinic,ZW010225
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Chabata Clinic,ZW010126
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Chakohwa Clinic,ZW010226
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Changazi clinic,ZW010319
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Changazi Rural Health Centre,ZW010202
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Chapanduka Clinic,ZW010127
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Chapwanya Clinic,ZW010128
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Charter Clinic,ZW010261
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Chatindo Clinic,ZW010725
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Chatora Clinic,
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Chavhanga Rural Health Centre,
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Chawatama RHC,ZW010115
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Chayamiti Rural Health Centre,ZW010203
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Chiadzwa Rural Health Centre,ZW010502
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Chibuwe Clinic,ZW010325
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Chichichi Clinic,ZW010338
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Chiduku Clinic,ZW010425
Zimbabwe Ministry of Health,Masvingo ,Chivi ,Chidyamakono Clinic,ZW080335
Zimbabwe Ministry of Health,Manicaland ,Mutare City,Chikanga Clinic,ZW010562
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Chikobvore Rural Health Centre,ZW010402
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Chikore Clinic,ZW010426
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Chikore Mission Hospital,ZW01030B
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Chikukwa Rural Health Centre,ZW010204
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Chikwakwa Clinic,ZW010227
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Chikwariro Clinic,ZW010591
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Chimanimani Rural Hospital,ZW01020E
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Chimbudzi Clinic,ZW010116
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Chinamasa Clinic,ZW010645
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Chinhenga Rural Health Centre,ZW010403
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Chinyadza Clinic,ZW010445
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Chinyamukwakwa Rural Health Centre,ZW010303
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Chinyika 1 Rural Health Centre,
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Chinyika 2 Rural Health Centre,ZW010405
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Chinyudze Rural Health Centre,ZW010406
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Chipangayi Clinic,ZW010345
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Chipendeke Clinic,ZW010544
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Chipfatsura Clinic,ZW010527
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Chipinge District Hospital,ZW01030A
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Chipinge Town Clinic,ZW010352
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Chipinge ZRP Clinic,ZW010317
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Chiriga Clinic,ZW010346
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Chirozva Clinic,ZW010129
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Chisengu Clinic,ZW010262
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Chishingwi Clinic,ZW010543
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Chisuma Clinic,ZW010339
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Chitaka Clinic,ZW010534
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Chitakatira Clinic,ZW010529
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Chitombo Clinic,ZW010625
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Chitora Clinic,ZW010518
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Chitungwiza Clinic,
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Chiwarira Clinic,ZW010726
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Chiwenga Clinic,ZW010130
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Chiwere Clinic,ZW010508
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Chiwese Clinic,ZW010131
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Claremont Estate Clinic,ZW010792
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Clearwater Clinic,ZW010362
Zimbabwe Ministry of Health,Manicaland ,Mutare City,Dangamvura Clinic,ZW010563
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Dombo Rural Health Centre,ZW010702
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Dora Clinic,ZW010541
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Dorowa Clinic,ZW010179
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Dowa Clinic,ZW010428
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Drenane Clinic,ZW010669
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Dumbabwe Clinic,ZW010429
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Eastern Highlands Plantation Clinic,ZW010674
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Elim Mission Hospital,ZW01070C
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Era Mine Clinic,ZW010437
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Erin Forest Estate Clinic,ZW010763
Zimbabwe Ministry of Health,Manicaland ,Mutare City,Fern Valley Clinic,ZW010566
Zimbabwe Ministry of Health,Manicaland ,Mutare City,Florida Clinic,ZW010565
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Fombe Rural Health Centre,ZW010703
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Gairezi Rural Health Centre,ZW010704
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Garamwera Clinic,ZW010132
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Gatsi Mission Clinic,ZW010691
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Gaza Clinic,ZW010347
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Gombe Clinic,ZW010133
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Gotekote Rural Health Centre,ZW010705
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Gowakowa Rural Health Centre,ZW010409
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Groobi Spring Rural Health Centre,ZW010407
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Gudyanga Clinic,ZW010229
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Gumira Clinic,ZW010326
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Gunura Clinic,ZW010134
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Guta Clinic,ZW010626
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Gutaurare Rural Health Centre,ZW010504
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Gwendingwe Clinic,ZW010263
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Gwenzi Clinic,ZW010390
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Gwindingwi Rural Health Centre,ZW010505
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Haparari Clinic,ZW010665
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Hauna Clinic,ZW010627
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Hauna District Hospital,ZW01060F
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Headlands Clinic,ZW010440
Zimbabwe Ministry of Health,Manicaland ,Mutare City,Hob House Clinic,ZW010560
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Honde Mission Clinic,ZW010692
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Hwakwata Clinic,ZW010327
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Imbeza Clinic,
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Jersey Clinic,ZW010364
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Jombe Clinic,ZW010697
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Junction Gate Clinic,ZW010348
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Kambudzi Clinic,ZW010729
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Katiyo Tea Estate Clinic,ZW010667
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Katsenga Rural Health Centre,ZW010410
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Kondo Clinic,ZW010328
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Kopera Rural Health Centre,ZW010306
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Leekuil Takunda Clinic,ZW010521
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Mabee Rural Health Centre,ZW010307
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Madhuku Clinic,ZW010329
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Madzimbashuro Rural Health Centre,ZW010103
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Mahenye Rural Health Centre,ZW010309
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Makoni Rural Hospital,ZW01040C
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Mambwere Clinic,ZW010530
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Mandeya II Clinic,ZW010628
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Manzvire Clinic,ZW010330
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Mapara Clinic,ZW010696
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Maparadza Clinic,ZW010340
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Maparura Rural Health Centre,ZW010411
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Mapofu Clinic,
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Marange Rural Hospital,ZW01050E
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Martin Forest Clinic,
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Masasi Clinic,ZW010531
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Masvosva Rural Health Centre,ZW010412
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Matanda Clinic,ZW010520
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Matize Rural Health Centre,ZW010707
