CCEmails,District,EmailAddress,ID,Name,Phone,Province,Status
,Northern Suburbs,,ZW090A12,Princess Margaret Rose Clinic,+263783283060,Bulawayo,active
,Emakhandeni,,ZW090A13,Pumula Old Clinic,+263783283074,Bulawayo,active
,Nkulumane,,ZW090A17,Nketa Clinic,+263783283076,Bulawayo,active
,Northern Suburbs,,ZW090A18,Northern Suburbs Clinic,+263783285111,Bulawayo,active
,Nkulumane,,ZW090A33,Maqhawe Clinic,+263783283080,Bulawayo,active
,Emakhandeni,,ZW090A35,Pumula South Clinic,+263783283075,Bulawayo,active
,I,,ZW090B0B,Ingutsheni Central Hospitals,+263783282869,Bulawayo,active
,=,,ZW090C0C,United Bulawayo Hospitals,+263783282868,Bulawayo,active
,=,,ZW090D0D,Mpilo Central Hospital,+263783282867,Bulawayo,active
,Mutare,,010568,New Start Centre Mutare,,Manicaland,active
,Makoni,,ZW010414,Mayo 1 Rural Health Centre,+263774147984,Manicaland,active
,Mudzi,,ZW030605,Makaha Rural Health Centre,+263774160065,Mashonaland East,active
,Chipinge,,ZW010361,ARDA Chisumbanje Clinic,+263783282841,Manicaland,active
,Seke,,ZW030901,Acton Reynolds Rural Health Centre,+263774160959,Mashonaland East,active
,Hwange,,ZW050335,Mabale Clinic,+263774151207,Matabeleland North,active
,Murewa,,ZW030748,Welcome Home Rural Health Centre,+263774160376,Mashonaland East,active
,Mwenezi,,ZW08060B,Matibi Mission Hospital,+263774150195,Masvingo,active
,Mutare,,ZW010591,Chikwariro Clinic,+263774148177,Manicaland,active
,Makoni,,ZW010405,Chinyika 2 RHC MAKONI,+263774147815,Manicaland,active
,Nyanga,,ZW01070E,Regina Coeli Mission Hospital,+263774149064,Manicaland,active
,Makoni,,ZW010400,NAMIE CLINIC MAKONI,,Manicaland,active
,Makoni,,ZW010492,Arnoldine Mission Clinic,+263774147742,Manicaland,active
,Chiredzi,,ZW080204,Chizvirizvi Rural Health Centre,+263774150001,Masvingo,active
,Chirumhanzu,,ZW070101,Chizhou Clinic,+263774150255,Midlands Province,active
,Gweru,,ZW070325,Chiwundura Clinic,+263774150471,Midlands Province,active
,Marondera,,ZW030503,Dimbiti Rural Health Centre,+263774160882,Mashonaland East,active
,Chiredzi,,ZW080205,Davata Rural Health Centre,+263774150010,Masvingo,active
,Uzumba Maramba Pfungwe,,ZW030338,Dewe Council Clinic,+263774160845,Mashonaland East,active
,Hurungwe,,ZW040203,Deve Clinic,+263774161443,Mashonaland West,active
,Hwange,,ZW050326,Dete Clinic,+263774151206,Matabeleland North,active
,Seke,,ZW030983,Derbyshire Clinic,+263774161061,Mashonaland East,active
,Gokwe North,,ZW070291,Denda Clinic,+263774150299,Midlands Province,active
,Chivi,,ZW080326,Davira Clinic,+263774150124,Masvingo,active
,Chegutu,,ZW040151,David Whitehead Clinic,+263783285179,Mashonaland West,active
,Centenary,,ZW020245,David Nelson Clinic,+263774157397,Mashonaland Central,active
,Mazowe,,ZW020410,Davaar Clinic,+263777146086,Mashonaland Central,active
,Zvimba,,ZW04060C,Darwendale Rural Hosptal,+263783282938,Mashonaland West,active
,Chikomba,,ZW030191,Daramombe Clinic,+263774159704,Mashonaland East,active
,Murewa,,ZW030725,Dandara Rural Health Centre,+263774160191,Mashonaland East,active
,Lupane,,ZW050402,Dandanda Rural Health Centre,+263774151213,Matabeleland North,active
,Kwekwe,,ZWdummy14,Dambridge Clinic,+263774150532,Midlands Province,active
,Mazowe,,ZW020484,Dambo Clinic,+263778126765,Mashonaland Central,active
,Nkayi,,ZW05050B,Dakamela Rural Hospital,+263777146931,Matabeleland North,active
,G,,ZW070381,Dabuka Clinic,+263783283029,Midlands,active
,Matobo,,ZW060594,Cyrene Mission Clinic,+263774152124,Matabeleland South,active
,Zvimba,,ZW040682,Crest Breeders Clinic,+263783282946,Mashonaland West,active
,Goromonzi,,ZW030246,Cranborne Clinic,+263774159794,Mashonaland East,active
,Murewa,,ZW030730,Craiglea Clinic,+263774160186,Mashonaland East,active
,Emakhandeni,,ZW090A27,Cowdray Park Clinic,+263783283073,Bulawayo,active
,Gweru,,ZW070313,Connemara Prison Clinic,+263783283026,Midlands Province,active
,Mazowe,,ZW02040A,Concession District Hospital1,+263783285065,Mashonaland Central,active
,Goromonzi,,ZW030226,Chinyika Clinic GOROMONZI,+263774159769,Mashonaland East,active
,Centenary,,ZW020208,Chinyani Clinic,+263774157424,Mashonaland Central,active
,Chipinge,,ZW010303,Chinyamukwakwa Rural Health Centre,+263774144892,Manicaland,active
,Zaka,,ZW080727,Chinyabako Clinic,+263774150057,Masvingo,active
,Hwange,,ZW050362,Chinotimba Clinic,+263783282971,Matabeleland North,active
,Makonde,,ZW040502,Chinhoyi ZRP Camp Clinic,+263783282989,Mashonaland West,active
,Makonde,,ZW040501,Chinhoyi ZPS Clinic,+263783285157,Mashonaland West,active
,Makonde,,ZW040503,Chinhoyi University Clinic,+263783282987,Mashonaland West,active
,Makonde,,ZW04050A,Chinhoyi Provincial Hospital,+263783282988,Mashonaland West,active
,Makonde,,ZW040561,Chinhoyi Municipal Council Clinic,+263783285153,Mashonaland West,active
,Hurungwe,,ZW040225,Chinhere Clinic,+263774161310,Mashonaland West,active
,Mhondoro,,ZW040318,Chingondo RDC Clinic,+263777146530,Mashonaland West,active
,Mberengwa,,ZW070528,Chingezi Clinic,+263774150718,Midlands Province,active
,Mudzi,,ZWdummy08,Chingamuka Clinic,+263783280043,Mashonaland East,active
,Chegutu,,ZW040162,Chinengundu Clinic,+263783285177,Mashonaland West,active
,Mazowe,,ZW020401,Chinehasha Rural Health Centre,+263777147367,Mashonaland Central,active
,Binga,,ZW050108,Chinego Rural Health Centre,+263774151102,Matabeleland North,active
,Goromonzi,,ZW030225,Chinamhora Clinic,+263774159758,Mashonaland East,active
,Mutare,,ZW010529,Chitakatira Clinic,+263774148192,Manicaland,active
,Hwange,,ZW050396,Colliery Number 5 Clinic,+263783282965,Matabeleland North,active
,Hwange,,ZW050395,Colliery Number 3 Clinic,+263783282957,Matabeleland North,active
,Hwange,,ZW050394,Colliery Number 2 Clinic,+263783282958,Matabeleland North,active
,Hwange,,ZW050393,Colliery Number 1 North Clinic,+263783282967,Matabeleland North,active
,Hwange,,ZW050392,Colliery Number 1 Clinic,+263783282968,Matabeleland North,active
,Gwanda,,ZW060377,Colleen Bawn Clinic,+263783283062,Matabeleland South,active
,Chiredzi,,ZW08020D,Colin Saunders Hospital,+263783285119,Masvingo,active
,Chipinge,,ZW010362,Clear Water Clinic,+263783282843,Manicaland,active
,Binga,,ZW050101,Chunga Clinic,+263783282982,Matabeleland North,active
,Hurungwe,,ZW040226,Chundu Clinic,+263774161314,Mashonaland West,active
,Shurugwi,,ZW07060C,Chrome Mine Hospital,+263783283009,Midlands Province,active
,Mazowe,,ZW020430,Christon Bank Clinic,+263778126763,Mashonaland Central,active
,Chiredzi,,ZW080235,Chompani Clinic,+263774150006,Masvingo,active
,Bikita,,ZW080128,Marozva Clinic,+263774149434,Masvingo,active
,Bikita,,ZW080130,Negovani Clinic,+263774149508,Masvingo,active
,Bikita,,ZW080132,Mungezi Rural Health Centre,+263774149464,Masvingo,active
,Chipinge,,ZW010347,Gaza Clinic,+263783282845,Manicaland,active
,Mutare,,ZW010513,Zvipiripiri Rural Health Centre,+263774148366,Manicaland,active
,Chivi,,ZW080321,Masinire Clinic,+263774150128,Masvingo,active
,Chivi,,ZW080324,Zivuku Clinic,+263774150162,Masvingo,active
,Chivi,,ZW080325,Vuranda Clinic,+263774150151,Masvingo,active
,Zaka,,ZW080733,Mushaya Clinic,+263774150083,Masvingo,active
,Zaka,,ZW080734,Ndanga Clinic,+263774150087,Masvingo,active
,Chipinge,,ZW010330,Manzvire Clinic,+263783282840,Manicaland,active
,Makoni,,ZA01040E,St Michaels Makoni Hospital,+263774148072,Manicaland,active
,Mutare,,ZW010525,Bakorenhema Clinic,+263783279371,Manicaland,active
,Nyanga,,ZW010725,Chatindo Clinic,+263774148939,Manicaland,active
,Chiredzi,,ZW080230,Rupangwana Clinic,+263774150048,Masvingo,active
,Mutare,,ZW010501,Bwizi Rural Health Centre,+263774148172,Manicaland,active
,Chipinge,,ZW010370,TAKWIRIRA CLINIC,,Manicaland,active
,Chivi,,ZW011799,MADZIVADONDO CLINIC,,Masvingo,active
,Nyanga,,ZW010705,Gotekote Rural Health Centre,+263774148997,Manicaland,active
,Bikita,,ZW08010D,Silveira Mission Hospital,+263774149519,Masvingo,active
,Bikita,,ZW080126,Hozvi Clinic,+263774149425,Masvingo,active
,Chivi,,ZW080305,Razi Rural Health Centre,+263774150139,Masvingo,active
,Chivi,,ZW080307,Takavarasha Rural Health Centre,+263774150148,Masvingo,active
,Chivi,,ZW080308,Nyahombe Rural Health Centre,+263774150136,Masvingo,active
,Chivi,,ZW08030A,Chivi District Hospital,+263783282924,Masvingo,active
,Mutare,,ZW010526,Bezely Bridge Clinic,+263774148155,Manicaland,active
,Zaka,,NJIVA,NJIVA CLINIC,,Masvingo,active
,Mutare,,ZW0010515,Vumba Clinic Mutare,+263774148350,Manicaland,active
,Bikita,,ZW080133,Mutikizizi Rural Health Centre,+263774149485,Masvingo,active
,Chiredzi,,ZW080207,Malipati Rural Health Centre,+263783285135,Masvingo,active
,Chiredzi,,ZW080208,Mhlanguleni Rural Health Centre,+263774150017,Masvingo,active
,Chiredzi,,ZW080209,Muteyo Rural Health Centre,+263774150025,Masvingo,active
,Chiredzi,,ZW08020C,Hippo Valley Estates Clinic,+263783285118,Masvingo,active
,Zaka,,ZW080701,Chipinda Rural Health Centre,+263774150058,Masvingo,active
,Bikita,,ZW080102,Dewure 1 RHC BIKITA,+263774149778,Masvingo,active
,Makoni,,ZW010432,MUKAMBA-MAKONI DISTRICT,+263774148008,Manicaland,active
,Mutasa,,ZW010696,Mapara Clinic,+263774148524,Manicaland,active
,Nyanga,,ZW010794,Nyadowa Clinic,+263774149024,Manicaland,active
,Chiredzi,,ZW080210,Nyangambe Rural Health Centre,+263774150033,Masvingo,active
,Mutasa,,ZW01060F,Hauna District Hospital,+263774148480,Manicaland,active
,Mwenezi,,ZW080603,Chizumba Rural Health Centre,+263774150176,Masvingo,active
,Makoni,,ZW010443,Ringanayi Clinic,+263774148054,Manicaland,active
,Makoni,,ZW010404,Chinyika 1 R H C MAKONI (BINGAGURU),+263774147811,Manicaland,active
,Mwenezi,,ZW080630,Mlelezi Clinic,+263774150209,Masvingo,active
,Mutasa,,ZW010640,Sakupwanya Clinic,+263774148612,Manicaland,active
,Chipinge,,ZW010331,Musani Clinic,+263774147606,Manicaland,active
,Nyanga,,ZWdummy99,TSANGA LODGE CLINIC,26377232119,Manicaland,active
,Buhera,,ZW01010A,Buhera Rural Hospital,+263774144499,Manicaland,active
,Chipinge,,ZW010372,Zona Clinic,+263783282849,Manicaland,active
,Mutare,,ZW010565,Florida Clinic,+263783279380,Manicaland,active
smanase@fhi360.org,Mutasa,,ZW01060A,Tsonzo Rural Hospital,+263774148912,Manicaland,inactive
,Gutu,,ZW080404,Mutema RHC Gutu,+263774149873,Masvingo,active
,Chimanimani,,010233,NHEDZIWA CHIMANIMANI,,Manicaland,inactive
,Mutare,,ZW010504,Gutaurare Rural Health Centre,+263774148238,Manicaland,active
,Mutare,,ZW010520,Matanda Clinic,+263774148252,Manicaland,active
,Makoni,,ZW010445,Chinyadza Clinic,+263774147809,Manicaland,active
,Gutu,,ZW080426,Denhere Gutu,+263783285120,Masvingo,active
,Buhera,,ZW010106,Zangama Rural Health Centre,+263774144814,Manicaland,active
,Mutasa,,ZW010639,Sahumani Clinic,+263774148601,Manicaland,active
,Makoni,,ZW01040D,Nedewedzo Rural Hospital,+263774148032,Manicaland,active
,Mwenezi,,ZW080606,Rutenga RHC,+263774150243,Masvingo,active
,Gutu,,ZW08040E,Gutu Mission Hospital,+263783285116,Masvingo,active
,Mutare,,ZW010536,Nzvenga Clinic,+263774148318,Manicaland,active
,Hurungwe,,ZWdummy49,Murambi Clinic,+263783282991,Mashonaland West,active
,Chipinge,,ZW010337,Zamuchia Clinic,+263774147739,Manicaland,active
,Chimanimani,,ZW010201,Bumba Rural Health Centre,+263774144822,Manicaland,active
,Chipinge,,ZW010312,Paidamoyo Rural Health Centre,+263774147702,Manicaland,active
,Chipinge,,ZW010326,Gumira Clinic,+263774144895,Manicaland,active
,Mutare,,ZW010564,Sakubva Health Centre,+263771120246,Manicaland,active
,Chipinge,,ZW010349,CHIPINGE TOWN CLINIC,,Manicaland,active
,Makoni,,ZW010409,Gowakowa Rural Health Centre,+263774147840,Manicaland,active
,Makoni,,ZW010413,Matotwe Rural Health Centre,+263774147929,Manicaland,active
,Chimanimani,,ZW01020B,Nyanyadzi Rural Hospital,+263774144867,Manicaland,active
,Mutare,,ZW010506,Muromo Rural Health Centre,+263774148296,Manicaland,active
,Mutare,,ZW010563,Dangamvura Clinic,+263771120247,Manicaland,active
,Mutasa,,ZW01060E,Triashill Mission Hospital,+263774148909,Manicaland,active
,Mutare,,ZW010566,Fern Valley Clinic,+263783279379,Manicaland,active
,Makoni,,ZW010428,Dowa Clinic,+263774147831,Manicaland,active
,Mazowe,,ZW020408,Adura Clinic,+263777146094,Mashonaland Central,active
,Mutare,,ZW010560,Hob House Clinic,+263783279382,Manicaland,active
,Mutasa,,ZW012132,CHINAKA CLINIC,,Manicaland,active
,Chimanimani,,ZWDUMMY86,Nhedziwa Clinic,,Manicaland,active
,Harare,,WIDH,WILKINS INFECTIOUS DISEASES HOSPITAL,,Harare,active
,Nyanga,,ZWDUMMY87,BENDE CLINIC,,Manicaland,active
,Mutasa,,ZWDUMMY,RUGOYI CLINIC,,Manicaland,active
,Zaka,,ZWDUMMY88,MACHIVA CLINIC,,Masvingo,active
,Makoni,,ZW010440,Headlands Clinic,+263783279385,Manicaland,active
,Centenary,,ZW02020A,St Alberts Mission Hospital,+263783285068,Mashonaland Central,active
,Buhera,,ZW010116,Mudawose Clinic,+263774144616,Manicaland,active
,Makoni,,ZW010439,Mufusire Clinic,+263774148006,Manicaland,active
,Mutasa,,ZW010641,Samanga Clinic,+263774148617,Manicaland,active
oldmutarelab@gmail.com,Mutasa,,ZW01060C,Old Mutare Mission Hospital,+263774148553,Manicaland,active
,Mutare,,ZW010511,Nyagundi Clinic,+263783279367,Manicaland,active
,Mutare,,ZW010544,Chipendeke Clinic,+263774148186,Manicaland,active
,Mwenezi,,ZW080629,MANYUCHI,+263774150219,Masvingo,active
,Mwenezi,,ZW080682,Mwenezana Clinic,+263774150222,Masvingo,active
,Zaka,,ZW080702,Harava Rural Health Centre,+263774150066,Masvingo,active
,Zaka,,ZW080704,Svuure Rural Health Centre,+263774150101,Masvingo,active
,Bikita,,ZW080134,Gangare Rural Health Centre,+263774149406,Masvingo,active
,Gokwe North,,ZWdummy16,Gandavaroyi,+263774150377,Midlands Province,active
,Chikomba,,ZW030146,Gandami Clinic,+263774159657,Mashonaland East,active
,Chikomba,,ZW03010E,Gandachibvuva Mission Hospital,+263774159510,Mashonaland East,active
,Makonde,,ZW040585,Gamanya RDC clinic,+263777147446,Mashonaland West,active
,Nyanga,,ZW010704,Gairezi Rural Health Centre,+263774148996,Manicaland,active
,Kwekwe,,ZW070481,Gaika Clinic,+263774150545,Midlands Province,active
,Mberengwa,,ZWdummy15,Gaha Clinic,+263774150721,Midlands Province,active
,Kariba,,ZW040402,Gache-Gache Rural Health Centre,+263774161502,Mashonaland West,active
,Mwenezi,,ZW080683,G & N Clinic,+263783285123,Masvingo,active
,Zaka,,ZW080730,Fuve Clinic,+263774150064,Masvingo,active
,Bindura,,ZW020175,Freda Rebecca Gold Mine Clinic,+263783282922,Mashonaland Central,active
,Mazowe,,ZW020485,Forrester Clinic,+263777146108,Mashonaland Central,active
,Bindura,,ZW020178,Foothills Clinic,+263778126768,Mashonaland Central,active
,Umguza,,ZW050726,Fingo Clinic,+263774151407,Matabeleland North,active
,Insiza,,ZW06040A,Filabusi District Hospital,+263783285144,Matabeleland South,active
,Lupane,,ZW050491,Fatima Mission Clinic,+263774151274,Matabeleland North,active
,Zvimba,,ZW04060E,Father O'Hea Hospital,+263783282937,Mashonaland West,active
,Bindura,,ZW020177,Farm Health Scheme Clinic,+263783282914,Mashonaland Central,active
,Nkayi,,ZW050525,Fanisoni Clinic,+263774151289,Matabeleland North,active
,Umguza,,ZW050752,Fairbridge ZRP Camp Clinic,+263783283050,Matabeleland North,active
,Kwekwe,,ZW070426,Exchange Clinic,+263774150544,Midlands Province,active
,Chegutu,,ZW040176,Evlington Mine Clinic,+263783285180,Mashonaland West,active
,Umzingwane,,ZW06060A,Esigodini District Hospital,+263783285151,Matabeleland South,active
,Umzingwane,,ZW060625,Esibomvu Clinc,+263783285115,Matabeleland South,active
,Seke,,ZW030926,Epworth Poly Clinic,+263771120245,Mashonaland East,active
,Seke,,ZW030990,Epworth Overspill Mission Clinic,+263779557419,Mashonaland East,active
,Northern Suburbs,,ZW090A04,Entumbane Clinic,+263783285110,Bulawayo,active
,Hwange,,ZW050361,Empumalanga Clinic,+263783282966,Matabeleland North,active
,Mangwe,,ZW060792,Empandeni Clinic,+263774151965,Matabeleland South,active
,Mangwe,,ZW06070E,Embakwe Mission Hospital,+263774151947,Matabeleland South,active
,Emakhandeni,,ZW090A01,Emakhandeni Clinic,+263783283072,Bulawayo,active
,Matobo,,ZW060505,Ekukhanyeni Rural Health Centre,+263774152067,Matabeleland South,active
,Eastern,,ZW000A10,Eastlea FHS Clinic,+263783285060,Harare,active
,Northern Suburbs,,ZW090A03,E.F Watson Clinic,+263783285109,Bulawayo,active
,Zvimba,,ZW040680,Dzivaresekwa gvt Clinic,+263777146619,Mashonaland West,active
,Chiredzi,,ZW080228,Dumisa Clinic,+263783285137,Masvingo,active
,Beitbridge,,ZW060126,Dulibadzimu Clinic,+263783285149,Matabeleland South,active
,Chirumhanzu,,ZW07010C,Driefontein Mission TB Hospital,+263774150261,Midlands Province,active
,Mutasa,,ZW010669,Drenane Clinic,+263774148432,Manicaland,active
,Nkulumane,,ZW090A14,Dr Shennan Clinic,+263783283078,Bulawayo,active
,Mount Darwin,,ZW020501,Dotito Rural Health Centre,+263774157708,Mashonaland Central,active
,Shurugwi,,ZW070698,Dorset Rural Health Centre,+263774150939,Midlands Province,active
,Buhera,,ZW010175,Dorowa Clinic,+263774144571,Manicaland,active
,Hurungwe,,ZW040299,Doro Clinic,+263774161428,Mashonaland West,active
,Kwekwe,,ZW070402,Donza Rural Health Centre,+263774150540,Midlands Province,active
,Kwekwe,,ZW070425,Donjuan Clinic,+263774150539,Midlands Province,active
,Mazowe,,ZW020406,Donje Clinic,+263777146077,Mashonaland Central,active
,Lupane,,ZW050403,Dongamuzi Rural Health Centre,+263774151219,Matabeleland North,active
,Mhondoro,,ZW040302,Dondoshava Rural Health Centre,+263777146486,Mashonaland West,active
,Mhondoro,,ZW040303,Donain Clinic,+263783282871,Mashonaland West,active
,Murewa,,ZW030726,Dombwe Rural Health Centre,+263774160209,Mashonaland East,active
,Chegutu,,ZW040146,Dombwe Clinic,+263774161114,Mashonaland West,active
,Marondera,,ZW030561,Dombotombo Clinic,+263783283081,Mashonaland East,active
,Goromonzi,,ZW030202,Domboshava Training Centre Clinic,+263783280013,Mashonaland East,active
,Bulilima,,ZW060225,Dombodema Clinic,+263774151610,Matabeleland South,active
,Makonde,,ZW040545,Doma RDC Clinic,+263777147493,Mashonaland West,active
,Tsholotsho,,ZW050626,Dlamini Clinic,+263777146929,Matabeleland North,active
,Beitbridge,,ZW060103,Dite Rural Health Centre,+263774151425,Matabeleland South,active
,Mangwe,,ZW060745,Dingumuzi Clinic,+263783285103,Matabeleland South,active
,Uzumba Maramba Pfungwe,,ZW030391,Dindi Clinic,+263774160780,Mashonaland East,active
,Hwange,,ZW050327,Dinde Clinic,+263774151188,Matabeleland North,active
,Mutare,,ZW010537,Rowa Clinic,+263774148320,Manicaland,active
,Makoni,,ZW010410,Katsenga Rural Health Centre,+263774147859,Manicaland,active
,Mutare,,ZW010531,Masasi Clinic,+263774148250,Manicaland,active
,Mutare,,ZW01050C,Sakubva District Hospital,+263783279376,Manicaland,active
,Gutu,,ZW08040A,Gutu Rural Hospital,+263774149789,Masvingo,active
,Chimanimani,,ZW010208,Muchadziya Rural Health Centre,+263774144844,Manicaland,active
,Chimanimani,,ZW010232,Shinja Clinic,+263774144878,Manicaland,active
,Chimanimani,,ZW010264,Roscommon Clinic,+263774144869,Manicaland,active
,Harare,,ZWdummy94,TARIRO CLINIC,,Harare,active
,Mwenezi,,ZW080628,Mwenezi Clinic,+263774150226,Masvingo,active
,Buhera,,ZW010104,Mombeyarara Rural Health Centre,+263774144598,Manicaland,active
,Buhera,,ZW010130,Chiwenga Clinic,+263774144553,Manicaland,active
,Mutasa,,ZW010632,Mwoyoweshumba Clinic,+263774148544,Manicaland,active
lmazarira@fhi360.org,Mutasa,,ZW020508,Mutasa Clinic Mutasa District,+263774157777,Manicaland,active
,Makoni,,ZW010425,Chiduku Clinic,+263774147768,Manicaland,active
,Gutu,,ZW080430,Munyikwa Clinic,+263774149843,Masvingo,active
,Mutasa,,ZW010697,Jombe Clinic,+263774148520,Manicaland,active
,Chimanimani,,ZW010203,Chayamiti Rural Health Centre,+263774144827,Manicaland,active
,Chimanimani,,ZW010227,Chikwakwa Clinic,+263774144833,Manicaland,active
,Mutasa,,ZW010626,Guta Clinic,+263774148444,Manicaland,active
,Chipinge,,ZW010334,Ngaone Clinic,+263774147658,Manicaland,active
,Chimanimani,,010498A,NHEDZIWA CLINIC CHIMANIMANI,,Manicaland,inactive
,Chipinge,,ZW010315,Tongogara Chipinge Refuge Camp Clinic,+263783282861,Manicaland,active
,Nyanga,,ZW010710,Nyautare Rural Health Centre,+263774149058,Manicaland,active
,Marondera,,ZW030504,Kushinga Phikhelela Clinic,+263774160901,Mashonaland East,active
,Marondera,,ZW030505,Mudzimurema Rural Health Centre,+263774160921,Mashonaland East,active
,Marondera,,ZW030506,Wenimbe Rural Health Centre,+263774160886,Mashonaland East,active
,Gutu,,ZW080436,Chepiri Clinic,+263774149704,Masvingo,active
,Chipinge,,ZW010364,Jersey Clinic,+263783282842,Manicaland,active
,Makoni,,ZW010434,Tandi Clinic,+263774148077,Manicaland,active
,Chikomba,,ZW030102,Murezi Rural Health Centre,+263774159512,Mashonaland East,active
,Chikomba,,ZW030106,CHIVHU ZPCS Clinic,+263783280025,Mashonaland East,active
,Uzumba Maramba Pfungwe,,ZW030330,Manyika Clinic,+263774160809,Mashonaland East,active
,Zvishavane,,ZW070776,Sabi Mine Clinic,+263783282996,Midlands Province,active
,Gweru,,ZW070302,Kabanga Rural Health Centre,+263774150482,Midlands Province,active
,Mwenezi,,ZW080627,Mushava Clinic,+263774150220,Masvingo,active
,Seke,,ZW03090B,Kunaka Hospital,+263774160957,Mashonaland East,active
,Zvishavane,,ZW07070A,Zvishavane District Hospital,+263783283002,Midlands Province,active
,Mberengwa,,ZW070525,Bonda  Mberengwa Clinic,+263774150668,Midlands,active
,Buhera,,ZW010118,Garamwera Clinic,+263783620793,Manicaland,active
,Zaka,,ZW080735,Nhema Clinic,+263774150094,Masvingo,active
,Zaka,,ZW080736,Nyakunhuwa Clinic,+263774150096,Masvingo,active
,Zaka,,ZW080737,Siyawareva Clinic,+263774150098,Masvingo,active
,Zaka,,ZW080738,Veza Clinic,+263774150107,Masvingo,active
,Zaka,,ZW080739,Jerera Satellite Clinic,+263774150068,Masvingo,active
,Makoni,,ZW010431,Nyamidzi Clinic,+263774148039,Manicaland,active
,Makoni,,ZW010401,Bamba Rural Health Centre,+263774147756,Manicaland,active
,Mutasa,,ZW010603,Sherukuru Rural Health Centre,+263774148899,Manicaland,active
,Nyanga,,ZW010763,Erin Forest Estate Clinic,+263774148967,Manicaland,active
,Nyanga,,ZW010730,Nyatate Clinic,+263774149056,Manicaland,active
,Mutare,,ZW010545,Burma Valley Clinic,+263774148168,Manicaland,active
,Buhera,,ZW010119,Munyanyi Clinic,+263783620794,Manicaland,active
,Chipinge,,ZW01030D,St Peter's Chisumbanje Mission Hospital,+263783282851,Manicaland,active
,Mutare,,ZW010510,Munyarari Clinic,+263774148295,Manicaland,active
,Mutare,,ZW010519A,ZRP MUTARE CAMP,+263774150463,Manicaland,active
,Mutare,,ZW010524,ARDA Transau Clinic,+263783279375,Manicaland,active
,Gutu,,ZW080493,Mukaro,+263774149835,Masvingo,active
,Nyanga,,ZW01070B,Avilla Mission Hospital,+263774148938,Manicaland,active
,Nyanga,,ZW010702,Dombo Rural Health Centre,+263774148946,Manicaland,active
,Mutasa,,ZW010635,Zindi Rural Health Centre,+263783279397,Manicaland,active
,Mutare,,010505,Gwindingwi Mutare,,Manicaland,active
,Harare Central,,ZW000C0C,Chitungwiza Central Hospital,+263783282865,Harare,inactive
,Chiredzi,,ZW080225,Chibwedziva Clinic,+263774149963,Masvingo,active
,Makoni,,ZW010402,Chikobvore Rural Health Centre,+263774147779,Manicaland,active
