FullName,Client Name,Client Province,Client District,ClientID,EmailAddress,MobilePhone,HomePhone,BusinessPhone,ConsentSMS,Status,Client Phone,Client EmailAddress,Client CCEmails,Client Status
Sister in charge,Nkayi ZPS Clinic,Matabeleland North,Nkayi,ZWdummy55,,,,263783283031.0,,active,+263783283031,,,active
Sister in charge,Njelele Clinic,Midlands Province,Gokwe South,ZWdummy54,,,,263783285161.0,,active,+263783285161,,,active
Sister in charge,Ndabambi Clinic,Midlands Province,Gokwe South,ZWdummy53,,,,263783285166.0,,active,+263783285166,,,active
Sister in charge,Mutoko Army Clinic,Mashonaland East,Mutoko,ZWdummy52,,,,263783280021.0,,active,+263783280021,,,active
Sister in charge,Mutare ZPCS Remand Clinic,Manicaland,Mutare,ZWdummy51,,,,263783279369.0,,active,+263783279369,,,active
Sister in charge,Muswera Rural clinic,Manicaland,Chipinge,ZWdummy50,,,,263774147624.0,,active,+263774147624,,,active
Sister in charge,Murambi Clinic,Mashonaland West,Hurungwe,ZWdummy49,,,,263783282991.0,,active,+263783282991,,,active
Sister in charge,Mupinda Clinic,Midlands Province,Kwekwe,ZWdummy48,,,,263774150602.0,,active,+263774150602,,,active
Sister in charge,Munyamani Clinic,Masvingo,Mwenezi,ZWdummy47,,,,263783285124.0,,active,+263783285124,,,active
Sister in charge,Mudzi Camp Clinic,Mashonaland East,Mudzi,ZWdummy46,,,,263783280036.0,,active,+263783280036,,,active
Sister in charge,Mliti clinic,Mashonaland Central,Shamva,ZWdummy45,,,,263774159480.0,,active,+263774159480,,,active
Sister in charge,Milonga Clinic,Matabeleland North,Hwange,ZWdummy44,,,,263783282960.0,,active,+263783282960,,,active
Sister in charge,Medpark Surgery Clinic,Midlands Province,Gokwe South,ZWdummy43,,,,263774150432.0,,active,+263774150432,,,active
Sister in charge,Mberengwa ZPS Clinic,Midlands Province,Mberengwa,ZWdummy42,,,,263783283011.0,,active,+263783283011,,,active
Sister in charge,Mazowe Bridge Rural Health Centre,Mashonaland Central,Rushinga,ZWdummy41,,,,263774157864.0,,active,+263774157864,,,active
Sister in charge,Mavhurazi  Clinic,Mashonaland East,Mudzi,ZWdummy40,,,,263783280042.0,,active,+263783280042,,,active
Sister in charge,Manyamba Clinic,Mashonaland West,Makonde,ZWdummy38,,,,263783285155.0,,active,+263783285155,,,active
Sister in charge,Makuti Clinic,Mashonaland West,Hurungwe,ZWdummy37,,,,263783285175.0,,active,+263783285175,,,active
Sister in charge,Makombe Clinic,Matabeleland South,Beitbridge,ZWdummy36,,,,263783285150.0,,active,+263783285150,,,active
Sister in charge,Mahusekwa District Hospital,Mashonaland East,Marondera,ZWdummy35,,,,263783279351.0,,active,+263783279351,,,active
Sister in charge,Madziwa Teachers' College,Mashonaland Central,Shamva,ZWdummy34,,,,263774157372.0,,active,+263774157372,,,active
Sister in charge,Lupane Prison,Matabeleland North,Lupane,ZWdummy33,,,,263783279346.0,,active,+263783279346,,,active
Sister in charge,Little Kraal Clinic,Manicaland,Makoni,ZWdummy32,,,,263774147877.0,,active,+263774147877,,,active
Sister in charge,Kwekwe ZPS Clinic,Midlands Province,Kwekwe,ZWdummy31,,,,263783283013.0,,active,+263783283013,,,active
Sister in charge,Kuwadzana Satellite Clinic,Harare,Western,ZWdummy30,,,,263783282900.0,,active,+263783282900,,,active
CLINICIAN IN CHARGE,Khami Staff Hospital,Matabeleland North,Umguza,ZWdummy29,drmandovha@gmail.com,,,263783279343.0,,active,+263783279343,,,active
Sister in charge,Karoi Static Clinic,Mashonaland West,Hurungwe,ZWdummy28,,,,263783285182.0,,active,+263783285182,,,active
Sister in charge,Kanyaga Rural District Council Clinic,Mashonaland West,Makonde,ZWdummy27,,,,263783285156.0,,active,+263783285156,,,active
Sister in charge,Kadoma ZRP Camp Clinic,Mashonaland West,Sanyati,ZWdummy26,,,,263783282985.0,,active,+263783282985,,,active
Sister in charge,Huchu Clinic,Midlands Province,Gokwe South,ZWdummy24,,,,263774150406.0,,active,+263774150406,,,active
Sister in charge,Gweru Child Welfare Clinic,Midlands,G,ZWdummy23,,,,263783285170.0,,active,+263783285170,,,active
Sister in charge,Guruve ZPS Clinic,Mashonaland Central,Guruve,ZWdummy22,,,,263783282883.0,,active,+263783282883,,,active
Sister in charge,Guni RHC,Masvingo,Gutu,ZWdummy21,,,,263774149941.0,,active,+263774149941,,,active
Sister in charge,Goromonzi ZPS Clinic,Mashonaland East,Goromonzi,ZWdummy20,,,,263783280012.0,,active,+263783280012,,,active
Sister in charge,Goromonzi Clinic,Mashonaland East,Mudzi,ZWdummy19,,,,263783280039.0,,active,+263783280039,,,active
Sister in charge,Gokwe Prison Clinic,Midlands Province,Gokwe South,ZWdummy18,,,,263783285160.0,,active,+263783285160,,,active
Sister in charge,Gavhunga Clinic,Mashonaland West,Mhondoro,ZWdummy17,,,,263783282875.0,,active,+263783282875,,,active
Sister in charge,Gandavaroyi,Midlands Province,Gokwe North,ZWdummy16,,,,263774150377.0,,active,+263774150377,,,active
Sister in charge,Gaha Clinic,Midlands Province,Mberengwa,ZWdummy15,,,,263774150721.0,,active,+263774150721,,,active
Sister in charge,Dambridge Clinic,Midlands Province,Kwekwe,ZWdummy14,,,,263774150532.0,,active,+263774150532,,,active
Sister in charge,Chitapo Clinic,Midlands Province,Gokwe South,ZWdummy12,,,,263783285183.0,,active,+263783285183,,,active
Sister in charge,Chishawasha Mission,Mashonaland East,Goromonzi,ZWdummy11,,,,263783280022.0,,active,+263783280022,,,active
Sister in charge,Chirogwe Clinic,Masvingo,Chivi,ZWdummy10,,,,263774150118.0,,active,+263774150118,,,active
Sister in charge,Chipoli Clinic,Mashonaland Central,Shamva,ZWdummy09,,,,263774159476.0,,active,+263774159476,,,active
Sister in charge,Chingamuka Clinic,Mashonaland East,Mudzi,ZWdummy08,,,,263783280043.0,,active,+263783280043,,,active
Sister in charge,Caledonia Clinic,Harare,Eastern,ZWdummy06,,,,263783282885.0,,active,+263783282885,,,active
Sister in charge,Bvumbura Clinic,Mashonaland East,Chikomba,ZWdummy05,,,,263774159548.0,,active,+263774159548,,,active
CLINICIAN IN CHARGE,Bulawayo ZPS Clinic,Bulawayo,Bulawayo,ZWdummy04,bulawayoprison@gmail.com,,,263783283044.0,,active,+263783283044,,,active
Sister in charge,Borrowdale PC Clinic,Harare,Northern,ZWdummy03,,,,263783282891.0,,active,+263783282891,,,active
Sister in charge,Bevking Clinic,Mashonaland West,Zvimba,ZWdummy02,,,,263783282944.0,,active,+263783282944,,,active
Sister in charge,Banket Hospital,Mashonaland West,Zvimba,ZWdummy01,,,,263783282945.0,,active,+263783282945,,,active
Sister in charge,Avondale Clinic,Harare,North Western,ZW000A01,,,,263783282893.0,,active,+263783282893,,,active
CLINICIAN IN CHARGE,Arcadia PC Clinic,Harare,Harare Central South Eastern,ZW000A02,drsomanmudariki@gmail.com,,,263783282888.0,,active,+263783282888,,,active
Sister in charge,Belvedere Clinic,Harare,North Western,ZW000A05,,,,263783282894.0,,active,+263783282894,,,active
Sister in charge,Breaside FHS Clinic,Harare,Harare Central South Eastern,ZW000A08,,,,263783285061.0,,active,+263783285061,,,active
Sister in charge,Budiriro Polyclinic,Harare,West South West,ZW000A09,,,,263783282909.0,,active,+263783282909,,,active
Sister in charge,Beatrice Road Hospital,Harare,Infectious Diseases,ZW000A0C,,,,263783282831.0,,active,+263783282831,,,active
Sister in charge,Wlikins Infectious Diseases Hospital,Harare,Infectious Diseases,ZW000A0D,,,,263783282870.0,,active,+263783282870,,,active
Sister in charge,Eastlea FHS Clinic,Harare,Eastern,ZW000A10,,,,263783285060.0,,active,+263783285060,,,active
Sister in charge,Glen Norah Satellite Clinic,Harare,South Western,ZW000A11,,,,263783282907.0,,active,+263783282907,,,active
Sister in charge,Glen View Polyclinic,Harare,West South West,ZW000A13,,,,263783282908.0,,active,+263783282908,,,active
Sister in charge,Glen View Satellite Clinic,Harare,West South West,ZW000A14,,,,263783282906.0,,active,+263783282906,,,active
Sister in charge,Greendale FHS Clinic,Harare,Eastern,ZW000A15,,,,263783285078.0,,active,+263783285078,,,active
Sister in charge,Hatcliffe Polyclinic,Harare,Northern,ZW000A17,,,,263783282832.0,,active,+263783282832,,,active
Sister in charge,Highfield Polyclinic,Harare,South Western,ZW000A18,,,,263783282901.0,,active,+263783282901,,,active
Sister in charge,Kambuzuma Polyclinic,Harare,Western,ZW000A19,,,,263783282895.0,,active,+263783282895,,,active
Sister in charge,Kuwadzana Polyclinic,Harare,Western,ZW000A20,,,,263783282898.0,,active,+263783282898,,,active
Sister in charge,Mabelreign Clinic,Harare,North Western,ZW000A21,,,,263783282896.0,,active,+263783282896,,,active
Sister in charge,Mabvuku Poly Clinic,Harare,Eastern,ZW000A23,,,,263771120253.0,,active,+263771120253,,,active
Sister in charge,Matapi Clinic,Harare,Southern,ZW000A25,,,,263783282912.0,,active,+263783282912,,,active
Sister in charge,Mbare Hostels Clinic,Harare,Southern,ZW000A26,,,,263783282829.0,,active,+263783282829,,,active
Sister in charge,Mbare Polyclinic,Harare,Southern,ZW000A27,,,,263783282910.0,,active,+263783282910,,,active
Sister in charge,Mt Pleasant Clinic,Harare,Northern,ZW000A28,,,,263783282892.0,,active,+263783282892,,,active
Sister in charge,Mufakose Clinic,Harare,West South West,ZW000A29,,,,263783282905.0,,active,+263783282905,,,active
Sister in charge,Rujeko Polyclinic,Harare,North Western,ZW000A33,,,,263783282889.0,,active,+263783282889,,,active
Sister in charge,Rutsanana Polyclinic,Harare,South Western,ZW000A34,,,,263783282903.0,,active,+263783282903,,,active
Sister in charge,Southerton Clinic,Harare,South Western,ZW000A35,,,,263783282897.0,,active,+263783282897,,,active
Sister in charge,Sunningdale Clinic,Harare,Southern,ZW000A37,,,,263783282830.0,,active,+263783282830,,,active
Sister in charge,Tafara FHS Clinic,Harare,Eastern,ZW000A38,,,,263783285077.0,,active,+263783285077,,,active
Sister in charge,Warren Park polyclinic,Harare,Western,ZW000A39,,,,263783282899.0,,active,+263783282899,,,active
Sister in charge,Waterfalls Clinic,Harare,Southern,ZW000A41,,,,263783282913.0,,active,+263783282913,,,active
Sister in charge,Western Triangle Clinic,Harare,South Western,ZW000A42,,,,263783282904.0,,active,+263783282904,,,active
Sister in charge,Hatfield PC Clinic,Harare,Harare Central South Eastern,ZW000A44,,,,263783282881.0,,active,+263783282881,,,active
Sister in charge,Marlborough Satellite Clinic,Harare,North Western,ZW000A45,,,,263783282890.0,,active,+263783282890,,,active
Sister in charge,Highlands PC Clinic,Harare,Eastern,ZW000A46,,,,263783282886.0,,active,+263783282886,,,active
Sister in charge,Mabvuku Satelite Clinic,Harare,Eastern,ZW000A47,,,,263783282887.0,,active,+263783282887,,,active
Sister in charge,Highlands FHS Clinic,Harare,Northern,ZW000A52,,,,263783285075.0,,active,+263783285075,,,active
Sister in charge,Hopley Clinic,Harare,Southern,ZW000A53,,,,263783282911.0,,active,+263783282911,,,active
Sister in charge,Seke South Clinic,Harare,Chitungwiza Urban,ZW000B01,,,,263783279407.0,,active,+263783279407,,,active
Sister in charge,Seke North Clinic,Harare,Chitungwiza Urban,ZW000B02,,,,263783283118.0,,active,+263783283118,,,active
Sister in charge,St Marys Clinic,Harare,Chitungwiza Urban,ZW000B03,,,,263783279410.0,,active,+263783279410,,,active
Sister in charge,Zengeza Clinic,Harare,Chitungwiza Urban,ZW000B04,,,,263783279405.0,,active,+263783279405,,,active
Sister in charge,St Michaels 24 hr Clinic,Harare,Chitungwiza Urban,ZW000B0C,,,,263783283089.0,,active,+263783283089,,,active
Sister in charge,Manyame 24 hr  Medical,Harare,Chitungwiza Urban,ZW000B0D,,,,263783283116.0,,active,+263783283116,,,active
Sister in charge,Chitungwiza Central Hospital,Harare,Harare Central,ZW000C0C,,,,263783282865.0,,active,+263783282865,,,active
Sister in charge,Berenyazvizvi Clinic,Manicaland,Buhera,ZW010101,,,,263774144480.0,,active,+263774144480,,,active
Sister in charge,Betera Rural Health Centre,Manicaland,Buhera,ZW010102,,,,263774144481.0,,active,+263774144481,,,active
Sister in charge,Madzimbashuro Rural Health Centre,Manicaland,Buhera,ZW010103,,,,263774144594.0,,active,+263774144594,,,active
Sister in charge,Mombeyarara Rural Health Centre,Manicaland,Buhera,ZW010104,,,,263774144598.0,,active,+263774144598,,,active
Sister in charge,Murwira Rural Health Centre,Manicaland,Buhera,ZW010105,,,,263774144622.0,,active,+263774144622,,,active
Sister in charge,Zangama Rural Health Centre,Manicaland,Buhera,ZW010106,,,,263774144814.0,,active,+263774144814,,,active
Sister in charge,Buhera Rural Hospital,Manicaland,Buhera,ZW01010A,,,,263774144499.0,,active,+263774144499,,,active
Sister in charge,Birchenough Bridge Hospital,Manicaland,Buhera,ZW01010B,,,,263774144496.0,,active,+263774144496,,,active
Sister in charge,Murambinda Mission Hospital,Manicaland,Buhera,ZW01010C,,,,263783279408.0,,active,+263783279408,,,active
Sister in charge,Mudawose Clinic,Manicaland,Buhera,ZW010116,,,,263774144616.0,,active,+263774144616,,,active
Sister in charge,Chimbudzi Clinic,Manicaland,Buhera,ZW010117,,,,263774144527.0,,active,+263774144527,,,active
Sister in charge,Garamwera Clinic,Manicaland,Buhera,ZW010118,,,,263783620793.0,,active,+263783620793,,,active
Sister in charge,Munyanyi Clinic,Manicaland,Buhera,ZW010119,,,,263783620794.0,,active,+263783620794,,,active
Sister in charge,Mudanda Clinic,Manicaland,Buhera,ZW010124,,,,263774144611.0,,active,+263774144611,,,active
Sister in charge,Bangure Clinic,Manicaland,Buhera,ZW010125,,,,263776148529.0,,active,+263776148529,,,active
Sister in charge,Chabata Clinic,Manicaland,Buhera,ZW010126,,,,263774144508.0,,active,+263774144508,,,active
Sister in charge,Chapanduka Clinic,Manicaland,Buhera,ZW010127,,,,263774144510.0,,active,+263774144510,,,active
Sister in charge,Chapwanya Clinic,Manicaland,Buhera,ZW010128,,,,263774144514.0,,active,+263774144514,,,active
Sister in charge,Chirozva Clinic,Manicaland,Buhera,ZW010129,,,,263774144532.0,,active,+263774144532,,,active
Sister in charge,Chiwenga Clinic,Manicaland,Buhera,ZW010130,,,,263774144553.0,,active,+263774144553,,,active
Sister in charge,Chiwese Clinic,Manicaland,Buhera,ZW010131,,,,263774144560.0,,active,+263774144560,,,active
Sister in charge,Gunura Clinic,Manicaland,Buhera,ZW010132,,,,263774144588.0,,active,+263774144588,,,active
Sister in charge,Gombe Clinic,Manicaland,Buhera,ZW010133,,,,263783620803.0,,active,+263783620803,,,active
Sister in charge,Mutepfe Clinic,Manicaland,Buhera,ZW010134,,,,263774144625.0,,active,+263774144625,,,active
Sister in charge,Mutiusinazita Clinic,Manicaland,Buhera,ZW010135,,,,263774144628.0,,active,+263774144628,,,active
Sister in charge,Muzokomba Clinic,Manicaland,Buhera,ZW010136,,,,263783620796.0,,active,+263783620796,,,active
Sister in charge,Nerutanga Clinic,Manicaland,Buhera,ZW010137,,,,263783620797.0,,active,+263783620797,,,active
Sister in charge,Rambanepasi Clinic,Manicaland,Buhera,ZW010138,,,,263774144801.0,,active,+263774144801,,,active
Sister in charge,Chawatama Rural Health Centre,Manicaland,Buhera,ZW010139,,,,263783279409.0,,active,+263783279409,,,active
Sister in charge,Dorowa Clinic,Manicaland,Buhera,ZW010175,,,,263774144571.0,,active,+263774144571,,,active
Sister in charge,Bumba Rural Health Centre,Manicaland,Chimanimani,ZW010201,,,,263774144822.0,,active,+263774144822,,,active
Sister in charge,Changazi Rural Health Centre,Manicaland,Chimanimani,ZW010202,,,,263774144825.0,,active,+263774144825,,,active
Sister in charge,Chayamiti Rural Health Centre,Manicaland,Chimanimani,ZW010203,,,,263774144827.0,,active,+263774144827,,,active
Sister in charge,Chikukwa Rural Health Centre,Manicaland,Chimanimani,ZW010204,,,,263774144832.0,,active,+263774144832,,,active
Sister in charge,Nyahode Clinic,Manicaland,Chimanimani,ZW010205,,,,263774144863.0,,active,+263774144863,,,active
Sister in charge,Muchadziya Rural Health Centre,Manicaland,Chimanimani,ZW010208,,,,263774144844.0,,active,+263774144844,,,active
Sister in charge,Biriiri Rural Hospital,Manicaland,Chimanimani,ZW01020A,,,,263783279362.0,,active,+263783279362,,,active
Sister in charge,Nyanyadzi Rural Hospital,Manicaland,Chimanimani,ZW01020B,,,,263774144867.0,,active,+263774144867,,,active
Sister in charge,Mutambara Mission Hospital,Manicaland,Chimanimani,ZW01020C,,,,263783279389.0,,active,+263783279389,,,active
Sister in charge,Rusitu Mission Hospital,Manicaland,Chimanimani,ZW01020D,,,,263774144870.0,,active,+263774144870,,,active
Sister in charge,Chimanimani Rural District Hospital,Manicaland,Chimanimani,ZW01020E,,,,263783279361.0,,active,+263783279361,,,active
Sister in charge,Chakohwa Clinic,Manicaland,Chimanimani,ZW010226,,,,263774144823.0,,active,+263774144823,,,active
Sister in charge,Chikwakwa Clinic,Manicaland,Chimanimani,ZW010227,,,,263774144833.0,,active,+263774144833,,,active
Sister in charge,Gudyanga Clinic,Manicaland,Chimanimani,ZW010229,,,,263774144839.0,,active,+263774144839,,,active
Sister in charge,Mutsvangwa Clinic,Manicaland,Chimanimani,ZW010230,,,,263774144858.0,,active,+263774144858,,,active
Sister in charge,Ngorima Clinic,Manicaland,Chimanimani,ZW010231,,,,263774144861.0,,active,+263774144861,,,active
Sister in charge,Shinja Clinic,Manicaland,Chimanimani,ZW010232,,,,263774144878.0,,active,+263774144878,,,active
Sister in charge,Arda Rusitu Clinic,Manicaland,Chimanimani,ZW010251,,,,263774144820.0,,active,+263774144820,,,active
Sister in charge,Charter Estate Clinic,Manicaland,Chimanimani,ZW010261,,,,263783279364.0,,active,+263783279364,,,active
Sister in charge,Roscommon Clinic,Manicaland,Chimanimani,ZW010264,,,,263774144869.0,,active,+263774144869,,,active
Sister in charge,Tilbury Clinic,Manicaland,Chimanimani,ZW010266,,,,263774144883.0,,active,+263774144883,,,active
Sister in charge,Chinyamukwakwa Rural Health Centre,Manicaland,Chipinge,ZW010303,,,,263774144892.0,,active,+263774144892,,,active
Sister in charge,Kopera Rural Health Centre,Manicaland,Chipinge,ZW010306,,,,263774147591.0,,active,+263774147591,,,active
Sister in charge,Mabee Rural Health Centre,Manicaland,Chipinge,ZW010307,,,,263774147595.0,,active,+263774147595,,,active
Sister in charge,Mahenye Rural Health Centre,Manicaland,Chipinge,ZW010309,,,,263774147603.0,,active,+263774147603,,,active
Sister in charge,Chikore Mission Hospital,Manicaland,Chipinge,ZW01030B,,,,263783282835.0,,active,+263783282835,,,active
Sister in charge,Mt Selinda Hospital,Manicaland,Chipinge,ZW01030C,,,,263783282834.0,,active,+263783282834,,,active
Sister in charge,St Peter's Mission Hospital,Manicaland,Chipinge,ZW01030D,,,,263783282851.0,,active,+263783282851,,,active
Sister in charge,Musiriswe Rural Health Centre,Manicaland,Chipinge,ZW010311,,,,263774147610.0,,active,+263774147610,,,active
Sister in charge,Paidamoyo Rural Health Centre,Manicaland,Chipinge,ZW010312,,,,263774147702.0,,active,+263774147702,,,active
Sister in charge,Tanganda Rural Health Centre,Manicaland,Chipinge,ZW010314,,,,263774147731.0,,active,+263774147731,,,active
Sister in charge,Tongogara Refuge Camp Clinic,Manicaland,Chipinge,ZW010315,,,,263783282861.0,,active,+263783282861,,,active
Sister in charge,Tuzuka Clinic,Manicaland,Chipinge,ZW010316,,,,263774147733.0,,active,+263774147733,,,active
Sister in charge,Chipinge ZRP Camp Clinic,Manicaland,Chipinge,ZW010317,,,,263783282833.0,,active,+263783282833,,,active
Sister in charge,Chipinge ZPS Clinic,Manicaland,Chipinge,ZW010318,,,,263783282836.0,,active,+263783282836,,,active
Sister in charge,Chibuwe Clinic,Manicaland,Chipinge,ZW010325,,,,263783282838.0,,active,+263783282838,,,active
Sister in charge,Gumira Clinic,Manicaland,Chipinge,ZW010326,,,,263774144895.0,,active,+263774144895,,,active
Sister in charge,Hwakwata Clinic,Manicaland,Chipinge,ZW010327,,,,263774147566.0,,active,+263774147566,,,active
Sister in charge,Kondo Clinic,Manicaland,Chipinge,ZW010328,,,,263774147590.0,,active,+263774147590,,,active
Sister in charge,Madhuko Clinic,Manicaland,Chipinge,ZW010329,,,,263774147597.0,,active,+263774147597,,,active
Sister in charge,Manzvire Clinic,Manicaland,Chipinge,ZW010330,,,,263783282840.0,,active,+263783282840,,,active
Sister in charge,Musani Clinic,Manicaland,Chipinge,ZW010331,,,,263774147606.0,,active,+263774147606,,,active
Sister in charge,Mutandahwe Clinic,Manicaland,Chipinge,ZW010332,,,,263774147647.0,,active,+263774147647,,,active
Sister in charge,Mutema Clinic,Manicaland,Chipinge,ZW010333,,,,263774147653.0,,active,+263774147653,,,active
Sister in charge,Ngaone Clinic,Manicaland,Chipinge,ZW010334,,,,263774147658.0,,active,+263774147658,,,active
Sister in charge,Rimbi Clinic,Manicaland,Chipinge,ZW010335,,,,263774147721.0,,active,+263774147721,,,active
Sister in charge,Veneka Clinic,Manicaland,Chipinge,ZW010336,,,,263774147736.0,,active,+263774147736,,,active
Sister in charge,Zamuchia Clinic,Manicaland,Chipinge,ZW010337,,,,263774147739.0,,active,+263774147739,,,active
Sister in charge,Chichichi Clinic,Manicaland,Chipinge,ZW010338,,,,263774144884.0,,active,+263774144884,,,active
Sister in charge,Chisuma Clinic,Manicaland,Chipinge,ZW010339,,,,263774144894.0,,active,+263774144894,,,active
Sister in charge,Maparadza Clinic,Manicaland,Chipinge,ZW010340,,,,263774147604.0,,active,+263774147604,,,active
Sister in charge,Chipangayi Clinic,Manicaland,Chipinge,ZW010345,,,,263783282839.0,,active,+263783282839,,,active
Sister in charge,Chiriga Clinic,Manicaland,Chipinge,ZW010346,,,,263774144893.0,,active,+263774144893,,,active
Sister in charge,Gaza Clinic,Manicaland,Chipinge,ZW010347,,,,263783282845.0,,active,+263783282845,,,active
Sister in charge,Junction Gate Clinic,Manicaland,Chipinge,ZW010348,,,,263783282862.0,,active,+263783282862,,,active
Sister in charge,Chipinge Town Clinic,Manicaland,Chipinge,ZW010349,,,,263783282852.0,,active,+263783282852,,,active
Sister in charge,Tamandayi Clinic,Manicaland,Chipinge,ZW010350,,,,263774147722.0,,active,+263774147722,,,active
Sister in charge,Nyunga Clinic,Manicaland,Chipinge,ZW010351,,,,263774147662.0,,active,+263774147662,,,active
Sister in charge,ARDA Chisumbanje Clinic,Manicaland,Chipinge,ZW010361,,,,263783282841.0,,active,+263783282841,,,active
Sister in charge,Clear Water Clinic,Manicaland,Chipinge,ZW010362,,,,263783282843.0,,active,+263783282843,,,active
Sister in charge,Jersey Clinic,Manicaland,Chipinge,ZW010364,,,,263783282842.0,,active,+263783282842,,,active
Sister in charge,ARDA Middle Sabi,Manicaland,Chipinge,ZW010365,,,,263783282844.0,,active,+263783282844,,,active
Sister in charge,New Year's Gift Clinic,Manicaland,Chipinge,ZW010366,,,,263783282846.0,,active,+263783282846,,,active
Sister in charge,Silver Stream Clinic,Manicaland,Chipinge,ZW010367,,,,263783279390.0,,active,+263783279390,,,active
Sister in charge,Southdowns Clinic,Manicaland,Chipinge,ZW010369,,,,263783282855.0,,active,+263783282855,,,active
Sister in charge,Ratelshoek Clinic,Manicaland,Chipinge,ZW010371,,,,263783282847.0,,active,+263783282847,,,active
Sister in charge,Zona Clinic,Manicaland,Chipinge,ZW010372,,,,263783282849.0,,active,+263783282849,,,active
Sister in charge,Gwenzi Clinic,Manicaland,Chipinge,ZW010390,,,,263783282850.0,,active,+263783282850,,,active
Sister in charge,Bamba Rural Health Centre,Manicaland,Makoni,ZW010401,,,,263774147756.0,,active,+263774147756,,,active
Sister in charge,Chikobvore Rural Health Centre,Manicaland,Makoni,ZW010402,,,,263774147779.0,,active,+263774147779,,,active
Sister in charge,Chinhenga Rural Health Centre,Manicaland,Makoni,ZW010403,,,,263774147807.0,,active,+263774147807,,,active
Sister in charge,Chinyika 1 Rural Health Centre,Manicaland,Makoni,ZW010404,,,,263774147811.0,,active,+263774147811,,,active
Sister in charge,Chinyika 2 Rural Health Centre,Manicaland,Makoni,ZW010405,,,,263774147815.0,,active,+263774147815,,,active
Sister in charge,Chinyudze Rural Health Centre,Manicaland,Makoni,ZW010406,,,,263774147819.0,,active,+263774147819,,,active
Sister in charge,Groobi Spring Rural Health Centre,Manicaland,Makoni,ZW010407,,,,263774147857.0,,active,+263774147857,,,active
Sister in charge,Gowakowa Rural Health Centre,Manicaland,Makoni,ZW010409,,,,263774147840.0,,active,+263774147840,,,active
Sister in charge,Rusape District Hospital,Manicaland,Makoni,ZW01040A,,,,263783279394.0,,active,+263783279394,,,active
Sister in charge,Weya Rural Hospital,Manicaland,Makoni,ZW01040B,,,,263774148088.0,,active,+263774148088,,,active
Sister in charge,Makoni Rural Hospital,Manicaland,Makoni,ZW01040C,,,,263774147897.0,,active,+263774147897,,,active
